,community,unitprice,totalprice,count
0,0551国际公寓 ,10361.0,65.0,1
1,369晶品城市公寓 ,14082.651162790698,89.55813953488372,43
2,908库生活小区 ,12258.0,92.0,2
3,BINGO缤购 ,18117.444444444445,101.43055555555556,36
4,CBC拓基广场 ,8526.142857142857,43.523809523809526,21
5,CBD中央广场 ,13774.642857142857,152.0,14
6,imore公寓 ,24045.884615384617,172.07692307692307,26
7,一轻局宿舍 ,19466.0,182.0,1
8,一里洋房 ,16494.09756097561,172.9890243902439,164
9,丁家巷3号 ,23243.0,239.0,2
10,丁怡花园 ,13769.058823529413,153.1764705882353,17
11,丁香家园一期 ,15313.608695652174,130.47826086956522,23
12,丁香家园三期 ,15129.4,124.2,20
13,丁香家园二期 ,13967.666666666666,125.88888888888889,27
14,丁香家园四期 ,13541.8,100.0,5
15,七桂塘步行街 ,34712.0,161.83333333333334,6
16,七里香榭 ,15882.632653061224,115.65306122448979,49
17,万事达小区 ,10889.888888888889,147.33333333333334,9
18,万凯碧桂园 ,10425.3125,103.375,16
19,万和新城广场 ,16178.31111111111,125.77333333333334,45
20,万家华庭 ,13843.153846153846,204.30769230769232,13
21,万小店小区 ,13036.8,154.5,10
22,万成华府 ,12461.767441860466,97.32558139534883,43
23,万振城市广场 ,13555.753846153846,94.11538461538461,65
24,万振紫蓬湾 ,18251.0,625.0,4
25,万振逍遥苑3期 ,15599.857142857143,254.33333333333334,21
26,万振逍遥苑一期 ,15155.166666666666,222.94444444444446,18
27,万振逍遥苑二期 ,15040.04,236.12,25
28,万振逍遥苑四期 ,15105.143617021276,137.54521276595744,188
29,万振逍遥苑连排 ,16119.2,360.6,5
30,万泰花园 ,12197.5,85.5,4
31,万派城 ,14974.888888888889,120.44999999999999,18
32,万盛苑 ,13493.0,153.0,7
33,万福家园 ,11511.157894736842,100.11052631578947,19
34,万科中心 ,13780.0,175.0,1
35,万科城市之光 ,25247.41176470588,455.81960784313725,51
36,万科时代之光 ,26215.0,381.57142857142856,21
37,万科森林公园嘉庭 ,24413.0,259.32,15
38,万科森林公园御庭 ,24527.75,231.57142857142858,28
39,万科森林公园旭庭 ,25031.52380952381,252.57142857142858,21
40,万科森林公园曦园 ,29904.1875,358.0,16
41,万科森林公园朗庭 ,25224.91891891892,237.80270270270273,37
42,万科森林公园睿庭 ,26538.315789473683,277.1578947368421,19
43,万科森林公园锦庭 ,26351.1,266.9,20
44,万科森林公园雍庭 ,26116.333333333332,227.66666666666666,3
45,万科森林公园馨园 ,30188.428571428572,639.2857142857143,7
46,万科红 ,12184.5,125.57142857142857,14
47,万科苏高新中央公园 ,17887.0,220.0,1
48,万科蓝山一期 ,23948.25581395349,223.0,43
49,万科蓝山二期 ,30829.28125,353.4375,32
50,万花园 ,13745.066666666668,107.26666666666667,15
51,万象公馆北区 ,18701.317073170732,212.6341463414634,41
52,万象公馆南区 ,18935.48214285714,214.725,56
53,万象新天 ,23580.85714285714,221.0,7
54,万豪花园 ,12692.833333333334,181.58333333333334,12
55,万达中心名宅 ,19753.302325581397,208.8139534883721,43
56,万达公馆 ,20425.41379310345,463.13793103448273,29
57,万达华府 ,17123.26923076923,211.15384615384616,26
58,万达悦湖苑 ,18972.103092783505,216.92061855670102,97
59,万达揽湖苑 ,21608.039682539682,244.82539682539684,126
60,万达银座 ,10598.5,56.777272727272724,44
61,三元小区 ,13815.5,123.5,2
62,三十八中宿舍 ,13795.666666666666,71.83333333333333,3
63,三十八所宿舍 ,16328.444444444445,103.44444444444444,18
64,三十六中生活区 ,12886.5,98.0,2
65,三口塘恢复楼 ,11668.0,94.33333333333333,3
66,三星家园 ,12614.5,116.0,2
67,三江小区 ,14681.4,156.0,5
68,三盛颐景园 ,30448.222222222223,354.0,9
69,三里街一村 ,14286.0,50.0,1
70,上元公寓 ,16014.21052631579,110.97894736842105,19
71,上园 ,13858.444444444445,122.96296296296296,27
72,上城国际丁香苑 ,16552.2,177.73333333333332,15
73,上城国际新界 ,17214.254545454547,176.2509090909091,55
74,上城国际玫瑰苑 ,16127.136842105263,124.01052631578948,95
75,上城国际罗兰苑 ,15590.0,192.33333333333334,3
76,上堤公寓 ,7892.131578947368,55.084210526315786,38
77,上林雅苑 ,10146.25925925926,114.0,27
78,上派镇包公路小区 ,9122.0,79.0,1
79,上海城市 ,13840.932584269663,127.66404494382023,89
80,上湖名院 ,18674.5,167.15625,16
81,上铁银欣花园 ,17514.304347826088,150.70869565217393,23
82,上风尚城 ,15173.166666666666,243.16666666666666,6
83,下卫恢复楼 ,14257.666666666666,101.33333333333333,3
84,世纪云景 ,8366.333333333334,102.66666666666667,3
85,世纪云顶 ,15273.346153846154,121.96923076923076,26
86,世纪别墅 ,26646.0,900.0,1
87,世纪城临滨苑 ,15416.313725490196,170.59117647058824,102
88,世纪城徽昌苑 ,18156.14893617021,201.12765957446808,94
89,世纪城徽杰苑 ,18034.824074074073,196.85277777777776,108
90,世纪城徽贵苑 ,17879.545454545456,215.3111111111111,99
91,世纪城振徽苑 ,18217.942857142858,232.0857142857143,105
92,世纪城春融苑 ,19082.043956043955,165.8956043956044,91
93,世纪城树荫苑 ,19585.136363636364,167.01818181818183,22
94,世纪城琼林苑 ,11695.010204081633,107.79285714285714,98
95,世纪家园 ,16409.28125,252.09375,32
96,世纪新城 ,15045.111111111111,182.83333333333334,18
97,世纪金源商务中心 ,5768.64,34.48,25
98,世纪金源国际公寓 ,7866.444444444444,53.07222222222222,36
99,世纪阳光花园兰阳苑 ,17854.25806451613,146.67741935483872,31
100,世纪阳光花园橙阳苑 ,16490.04,214.632,25
101,世纪阳光花园紫阳苑 ,15339.241379310344,252.48275862068965,29
102,世纪阳光花园红阳苑 ,17923.428571428572,249.52380952380952,21
103,世纪阳光花园绿阳苑 ,18240.0,227.40625,16
104,世纪阳光花园金阳苑 ,17174.5,212.0666666666667,12
105,世纪阳光花园青阳苑 ,16112.058823529413,220.1764705882353,34
106,世茂翡翠首府 ,17910.409448818897,206.86141732283463,127
107,东兴小区 ,11248.5,113.0,4
108,东兴庄恢复楼 ,15480.5,130.0,2
109,东兴街七号 ,15045.0,130.0,1
110,东冠繁华逸城 ,15793.23076923077,144.67813765182186,247
111,东升花园 ,10573.162790697674,86.90697674418605,43
112,东华园 ,17943.72,293.712,25
113,东圣花园 ,7140.0,53.0,1
114,东城一品轩 ,14601.2,115.2,5
115,东城世家 ,11811.714285714286,130.28571428571428,7
116,东安新村 ,12157.25,90.0,4
117,东宸苑 ,7026.0,90.0,1
118,东方广场 ,26852.916666666668,263.60833333333335,12
119,东方新世界C区 ,9847.0,115.0,1
120,东方新城 ,8598.9,99.2,10
121,东方明珠嘉苑 ,10378.833333333334,103.29166666666667,24
122,东方绿洲 ,9499.75,102.21875,32
123,东方花园 ,9883.145161290322,107.2258064516129,62
124,东方银座 ,13378.142857142857,144.0,7
125,东昌玉龙公馆 ,9249.2,87.6,5
126,东景苑 ,11604.907407407407,85.30740740740741,54
127,东来家园 ,16903.0,154.0,2
128,东汽小区 ,14582.0,122.5,2
129,东河丽景 ,10276.56,119.72,25
130,东流路34号 ,13393.333333333334,216.66666666666666,3
131,东流路生活区 ,15211.0,105.0,1
132,东海徽园 ,14852.285714285714,186.5952380952381,42
133,东海星城 ,14525.410958904109,119.74337899543379,219
134,东海花园 ,14365.8,239.61777777777777,45
135,东湖山庄清水苑 ,12433.433333333332,155.53333333333333,30
136,东煌公寓 ,12896.3,184.0,10
137,东环广场 ,13443.25,153.48333333333332,12
138,东皖新村 ,13804.0,90.0,1
139,东祥府 ,19846.25806451613,196.83870967741936,31
140,东航卫岗小区 ,13522.357142857143,79.41428571428571,14
141,东航宿舍 ,15985.25,154.25,4
142,东航银燕小区 ,13831.0,159.0,11
143,东苑新村 ,12676.0,86.11111111111111,9
144,东苑雅居 ,11166.92,109.44,25
145,东风小区 ,12251.0,141.94444444444446,9
146,东风新村 ,15276.1,92.6,10
147,丝绸新村 ,14253.4,87.3,10
148,中兴花园(瑶海区) ,11403.666666666666,96.33333333333333,15
149,中兴花园(蜀山区) ,12011.0,230.0,1
150,中兴西湖花园 ,12989.894736842105,152.7824561403509,57
151,中凯聚龙湾 ,11458.625,113.875,16
152,中医学院宿舍 ,23034.5,162.5,2
153,中医学院宿舍（三里庵） ,16366.833333333334,101.33333333333333,6
154,中医学院宿舍（五里墩） ,11877.666666666666,80.0,3
155,中国铁建国际公馆 ,17491.98148148148,189.4537037037037,54
156,中国铁建青秀城 ,18538.758620689656,135.77586206896552,29
157,中国铁路四局集团第七工程公司 ,20622.666666666668,259.3333333333333,3
158,中天左岸 ,16938.060606060608,115.71212121212122,33
159,中天蓝山 ,15291.285714285714,168.42857142857142,21
160,中央星座 ,12985.066666666668,72.0,15
161,中央美域花园A区 ,18294.333333333332,135.66666666666666,27
162,中央美域花园B区 ,20218.354838709678,250.19354838709677,31
163,中央花园 ,16307.333333333334,243.73333333333332,15
164,中奥花园 ,10161.285714285714,71.42142857142858,70
165,中州世纪广场 ,7971.0,119.0,1
166,中建家园 ,10819.0,83.0,1
167,中房名城 ,14494.5,210.5,6
168,中房名都 ,12182.181818181818,128.63636363636363,11
169,中振和润华府 ,15610.85,142.75,20
170,中海原山 ,19560.644859813085,323.9794392523365,107
171,中海央墅 ,24409.60465116279,507.31162790697675,43
172,中海滨湖公馆 ,24709.892473118278,417.5376344086022,93
173,中环CBD ,10870.76923076923,53.0,13
174,中环东方名景 ,12465.380952380952,124.63095238095238,84
175,中环云公馆 ,12577.90625,125.446875,32
176,中环云邸 ,23921.925925925927,320.48148148148147,27
177,中环国际 ,11613.0,119.22222222222223,9
178,中环国际广场 ,12511.75,112.125,8
179,中环城国际公寓 ,21420.64864864865,151.05405405405406,37
180,中环汇景大厦 ,23815.5,406.5,2
181,中环湖滨公馆 ,17644.714285714286,195.14285714285714,7
182,中环紫荆公馆 ,25028.055555555555,229.11111111111111,18
183,中绿广场二期 ,10091.8,67.4,5
184,中翔新东城 ,11546.46,63.646,50
185,中翔盛景名苑 ,16580.35,205.6,20
186,中行宿舍 ,14692.0,131.0,3
187,中街水晶城 ,14405.2,140.16363636363636,55
188,中辰未来港 ,14198.0,78.0,1
189,中铁四局 ,9135.0,95.0,1
190,中铁四局七公司 ,11427.0,120.0,1
191,中铁四局八分公司合肥西站办事处 ,12887.166666666666,123.16666666666667,6
192,中铁四局四公司医院住宅楼 ,9097.0,160.0,1
193,中铁四局机关大院 ,24061.0,238.33333333333334,9
194,中铁四局集团四公司生活小区 ,13024.5,134.8,2
195,中铁四局集团第一工程有限公司 ,12501.0,83.75,4
196,中铁四局集团第八工程公司 ,12484.875,95.125,8
197,中铁国际城和畅园 ,18558.0,189.2204081632653,49
198,中铁国际城品园 ,16944.70754716981,139.17735849056604,106
199,中铁国际城广园 ,16683.252032520326,191.97560975609755,123
200,中铁国际城德园 ,16781.745098039217,176.62745098039215,51
201,中铁国际城旭园 ,15876.671875,142.9609375,64
202,中铁国际城桂园 ,19306.35714285714,180.21428571428572,14
203,中铁国际城瑞园 ,19819.555555555555,692.2222222222222,9
204,中铁滨湖名邸 ,20093.666666666668,203.38888888888889,72
205,中铁电器家属区 ,13686.181818181818,146.9090909090909,11
206,丰乐世纪公寓 ,12013.411764705883,196.76470588235293,17
207,丰乐苑 ,14782.333333333334,231.16666666666666,6
208,丰大住宅小区 ,13255.625,98.0,8
209,丰大国际 ,17721.30769230769,191.3846153846154,13
210,丰大苑 ,11147.57142857143,125.39285714285714,28
211,丰湖苑 ,5125.0,41.0,2
212,丰盛华庭 ,18563.074074074073,118.77037037037037,27
213,临桥苑 ,11665.68,89.64,25
214,临泉花苑 ,12762.272727272728,107.81818181818181,22
215,临淮新村 ,11729.0,73.0,2
216,临湖社区 ,11118.404761904761,106.42857142857143,42
217,临湖苑A区 ,19587.884615384617,207.1846153846154,26
218,临湖苑B区 ,20059.52380952381,223.0,21
219,临湖苑C区 ,20149.386363636364,205.54545454545453,44
220,临湖苑D区 ,19761.170731707316,195.8048780487805,41
221,临湖苑E区 ,19456.552631578947,194.73684210526315,38
222,临湖苑F区 ,20845.166666666668,216.66666666666666,36
223,临湖雅苑 ,10097.333333333334,91.66666666666667,3
224,临环苑 ,13404.444444444445,171.77777777777777,9
225,丹霞柠檬郡 ,15127.238095238095,77.64285714285714,21
226,丹青花园 ,17988.555555555555,238.4814814814815,27
227,丽丰铂羽公馆 ,14580.555555555555,159.66666666666666,9
228,丽景湾 ,12081.923076923076,128.92307692307693,13
229,丽景碧雅 ,14552.583333333334,249.375,12
230,丽水云天 ,10320.666666666666,98.8,15
231,丽水天锦苑 ,11381.31111111111,103.8,45
232,丽水家园 ,23314.727272727272,368.27272727272725,11
233,丽水芙蓉 ,13059.75,188.75,8
234,丽都名邸 ,11550.923076923076,143.76923076923077,13
235,丽阳兰庭 ,15887.020408163266,124.65306122448979,49
236,丽阳雅居 ,12898.5,101.5,2
237,久康苑 ,14692.285714285714,124.28571428571429,7
238,义井公寓 ,17116.166666666668,158.66666666666666,6
239,义仓小区 ,16774.0,122.25,8
240,义仓巷 ,17114.384615384617,111.06153846153846,13
241,义和家园 ,6884.0,56.0,1
242,义城劳服公司小区 ,14593.333333333334,144.33333333333334,3
243,义城建安小区 ,12916.5,103.5,2
244,乐天花园 ,16183.5,143.0,4
245,乐客来国际商业中心 ,10128.416666666666,61.53333333333333,12
246,乐富强御龙湾 ,27789.88888888889,279.24444444444447,45
247,乐水苑 ,10774.933333333332,76.73333333333333,15
248,乐水路4号 ,9234.0,72.0,1
249,九中宿舍 ,27925.0,148.0,1
250,九华华林家园 ,17936.51724137931,198.70689655172413,29
251,九华华龙苑 ,11861.0,111.2,5
252,九华山庄 ,14614.09090909091,243.0909090909091,11
253,九华山路108号 ,15385.0,100.0,1
254,九溪江南 ,16505.68181818182,241.51454545454544,110
255,九狮桥街10号 ,15401.5,90.0,2
256,九狮水岸 ,11663.345454545455,126.06545454545456,55
257,九珑湾 ,17378.653846153848,216.56923076923078,26
258,九龙园 ,19909.8,158.0,5
259,乡村花园 ,22555.75,436.625,8
260,书缘居 ,15668.0,271.25,12
261,书苑雅居 ,5440.6,56.8,5
262,书香苑 ,30159.6,534.4,10
263,书香门第东区 ,26907.0,191.57142857142858,7
264,书香门第西区 ,27139.363636363636,241.63636363636363,22
265,书香雅苑 ,12343.826923076924,126.11923076923077,52
266,乳品厂小区 ,14143.75,102.0,8
267,予制厂生活小区 ,13712.57142857143,101.71428571428571,7
268,二建三处 ,13581.0,82.83333333333333,12
269,二环新村 ,14663.0,40.0,1
270,二轻公司宿舍 ,11282.666666666666,64.66666666666667,3
271,二里河小区 ,14776.42857142857,87.71428571428571,7
272,云海家园 ,10992.42857142857,105.85714285714286,7
273,云滨花园 ,15216.526315789473,129.56140350877192,57
274,云辉阁 ,15070.857142857143,192.71428571428572,7
275,云顶雅苑 ,10489.105263157895,86.73684210526316,19
276,五中宿舍 ,11061.333333333334,98.0,3
277,五十四中宿舍 ,16557.0,160.0,1
278,五安家园 ,14170.125,89.75,8
279,五河新村 ,12830.9375,98.24375,32
280,五河路61号 ,11277.5,91.0,4
281,五河路医药公司宿舍 ,14940.0,125.0,2
282,五洲商城c区 ,10666.0,88.0,1
283,五金五厂宿舍 ,10893.666666666666,80.33333333333333,3
284,井巷 ,17212.5,88.0,2
285,亚华新城邦茗苑 ,17395.571428571428,227.0,7
286,亚华新城邦锦园 ,17002.5,244.25,4
287,亚华新城邦雅轩 ,17426.75,76.45,4
288,交行恢复楼 ,11491.0,86.83333333333333,3
289,交警二大队宿舍 ,15805.0,130.0,2
290,交通厅宿舍大院 ,12267.5,78.5,2
291,交通局宿舍 ,18733.4,136.8,5
292,京冠北城华府 ,11511.720930232557,102.83720930232558,43
293,京冠御园华府 ,11656.473684210527,105.82894736842105,38
294,京华世家 ,13816.4,132.53333333333333,15
295,京商商贸城 ,5937.888888888889,101.66666666666667,9
296,京城国际 ,12589.266666666666,120.28888888888889,45
297,京祥名都 ,11532.297297297297,101.37837837837837,37
298,亲亲家园 ,14941.125,156.25,8
299,亲湖苑A区 ,20209.444444444445,216.44444444444446,27
300,亲湖苑B区 ,20773.735849056604,212.54716981132074,53
301,亲湖苑C区 ,20630.2,229.7,30
302,亲湖苑D区 ,25932.833333333332,414.1666666666667,6
303,亳州城 ,12663.136363636364,93.34848484848484,66
304,亳州新村 ,12686.611111111111,75.11111111111111,18
305,亳州路小学住宅楼 ,11321.666666666666,73.33333333333333,3
306,人保宿舍 ,16154.333333333334,115.0,3
307,人才苑北村 ,11163.142857142857,104.71428571428571,7
308,人民巷12号 ,31904.0,235.0,1
309,人民巷14号 ,34483.0,228.0,1
310,人民巷18号 ,42739.0,152.66666666666666,3
311,人民巷21号 ,34337.583333333336,224.25,12
312,人民巷29号 ,34776.333333333336,224.66666666666666,3
313,人民巷37号 ,29457.0,228.5,2
314,人民巷3号 ,32381.0,204.0,1
315,人民巷6号 ,33784.0,400.0,1
316,人民巷八号大院 ,34338.0,234.5,2
317,人民巷四号 ,40070.0,195.0,2
318,人行宿舍 ,16667.0,125.0,1
319,人防办宿舍 ,29099.0,142.0,1
